Date,AAPL,MSFT,GOOGL,AMZN,BRK-A,TSLA,UNH,JNJ,V,NVDA,XOM,TSM,WMT,META,PG,LLY,HD,CVX,KO,PFE,ABBV,MRK,PEP,TMO,ORCL,COST,AZN,RIL,MCD,CSCO,TMUS,SHEL,DIS,DHR,TM,NVS,ABT,ACN,VZ,TXN,BHP,WFC,LIN,MS,INTC,CMCSA,ADBE,SAP,UPS,TTE,IBM,HSBC,AMGN,LOW,C,BABA,RTX,SBUX,BMY,GE,NKE,CVS,SNY,T,AMD,NFLX,UNP,MDT,GSK,BA,HON,QCOM,SIEGY,UL,DE,BLK,GS,MMM,F,ISNPY,CRWD,CARR,AMAT,MO,COP,PM,LMT
2024-04-11 00:00:00-04:00,175.0399932861328,427.92999267578125,159.41000366210938,189.0500030517578,616670.0,174.60000610351562,441.7200012207031,148.7899932861328,275.67999267578125,906.1599731445312,121.79000091552734,147.1999969482422,60.09000015258789,523.1599731445312,154.84017944335938,759.5900268554688,347.3699951171875,161.88999938964844,59.04999923706055,26.34000015258789,165.97000122070312,126.1500015258789,168.36000061035156,574.5700073242188,123.23999786376953,731.1763916015625,69.44999694824219,,268.6199951171875,49.529998779296875,160.69000244140625,72.66000366210938,117.1500015258789,244.0,246.99000549316406,94.33999633789062,110.89999389648438,325.19000244140625,40.15999984741211,171.1999969482422,59.4900016784668,56.689998626708984,453.0,86.04484558105469,37.630001068115234,40.13999938964844,484.2799987792969,185.6699981689453,149.00999450683594,72.94999694824219,185.89999389648438,40.95000076293945,270.0,234.31997680664062,60.709999084472656,74.8499984741211,100.77999877929688,85.9000015258789,49.119998931884766,157.39999389648438,92.0,69.07164001464844,46.599998474121094,16.420000076293945,170.5,628.780029296875,236.16000366210938,82.16999816894531,40.79999923706055,173.36000061035156,196.8699951171875,175.1300048828125,93.66999816894531,47.650001525878906,412.8399963378906,785.9600219726562,397.4800109863281,93.18000030517578,13.039999961853027,21.200000762939453,317.79998779296875,56.619998931884766,212.97999572753906,41.43000030517578,132.9199981689453,89.43000030517578,452.32000732421875
2024-04-12 00:00:00-04:00,176.5500030517578,421.8999938964844,157.72999572753906,186.1300048828125,608091.0,171.0500030517578,439.20001220703125,147.52000427246094,275.9599914550781,881.8599853515625,120.37000274658203,142.52000427246094,60.13999938964844,511.8999938964844,154.3334503173828,751.6400146484375,342.8699951171875,158.9600067138672,58.279998779296875,25.860000610351562,162.27999877929688,125.73999786376953,168.10000610351562,565.22998046875,121.11000061035156,730.1381225585938,68.93000030517578,,267.3900146484375,48.4900016784668,160.0500030517578,72.44000244140625,114.01000213623047,239.9499969482422,242.97000122070312,93.5199966430664,109.11000061035156,315.3999938964844,39.720001220703125,166.3300018310547,58.560001373291016,56.470001220703125,447.4100036621094,85.40080261230469,35.689998626708984,39.369998931884766,474.0899963378906,180.77999877929688,144.91000366210938,72.48999786376953,182.27000427246094,40.630001068115234,267.2799987792969,230.94610595703125,59.68000030517578,71.29000091552734,100.0999984741211,84.91999816894531,48.279998779296875,154.6300048828125,92.0,67.98218536376953,45.93000030517578,16.309999465942383,163.27999877929688,622.8300170898438,234.39999389648438,80.12999725341797,40.65999984741211,169.5500030517578,196.16000366210938,171.2899932861328,91.19999694824219,46.7599983215332,397.2699890136719,763.4000244140625,389.489990234375,91.30999755859375,12.609999656677246,20.959999084472656,309.04998779296875,56.84000015258789,207.86000061035156,41.04999923706055,131.1999969482422,88.8499984741211,450.3999938964844
2024-04-15 00:00:00-04:00,172.69000244140625,413.6400146484375,154.86000061035156,183.6199951171875,604500.0,161.47999572753906,445.6300048828125,147.58999633789062,271.2799987792969,860.010009765625,119.68000030517578,140.13999938964844,59.93000030517578,500.2300109863281,154.4526824951172,750.77001953125,337.92999267578125,157.58999633789062,58.13999938964844,25.90999984741211,161.6699981689453,126.19000244140625,166.9499969482422,557.8699951171875,119.87999725341797,717.1290283203125,68.7300033569336,,266.2300109863281,48.2400016784668,159.82000732421875,71.94000244140625,112.94999694824219,239.66000366210938,241.6699981689453,94.41000366210938,108.88999938964844,313.2699890136719,40.11000061035156,166.35000610351562,59.060001373291016,56.970001220703125,444.75,86.19347381591797,36.310001373291016,39.43000030517578,470.1000061035156,180.22999572753906,144.85000610351562,72.16999816894531,181.25,40.56999969482422,265.510009765625,228.91580200195312,58.560001373291016,70.62000274658203,100.0199966430664,85.16999816894531,48.5099983215332,153.6999969482422,93.0999984741211,68.29911804199219,46.2400016784668,16.239999771118164,160.32000732421875,607.1500244140625,233.94000244140625,80.2300033569336,40.5,167.82000732421875,194.0399932861328,169.83999633789062,92.8499984741211,46.709999084472656,393.79998779296875,762.989990234375,400.8800048828125,91.30000305175781,12.229999542236328,21.09000015258789,299.5,55.459999084472656,205.67999267578125,40.95000076293945,130.25,88.5999984741211,453.0799865722656
2024-04-16 00:00:00-04:00,169.3800048828125,414.5799865722656,154.39999389648438,183.32000732421875,598160.0,157.11000061035156,468.8900146484375,144.4499969482422,271.3500061035156,874.1500244140625,118.69000244140625,139.8000030517578,59.84000015258789,499.760009765625,154.94947814941406,746.739990234375,334.8299865722656,156.27999877929688,58.060001373291016,25.690000534057617,162.5399932861328,125.05999755859375,167.5,554.5499877929688,120.62000274658203,714.8226318359375,68.2699966430664,,265.42999267578125,47.91999816894531,159.7899932861328,71.05999755859375,113.87999725341797,240.33999633789062,236.52000427246094,93.19999694824219,109.20999908447266,313.94000244140625,39.77000045776367,167.58999633789062,56.959999084472656,56.40999984741211,445.7799987792969,88.32378387451172,36.2599983215332,39.119998931884766,476.2200012207031,180.55999755859375,142.88999938964844,71.75,183.75,39.650001525878906,265.6400146484375,227.26370239257812,57.02000045776367,69.61000061035156,100.83999633789062,85.41999816894531,48.2599983215332,156.75999450683594,93.38999938964844,68.36844635009766,45.79999923706055,16.09000015258789,163.4600067138672,617.52001953125,231.25999450683594,79.25,39.95000076293945,170.5500030517578,190.72000122070312,168.5800018310547,91.91000366210938,46.470001220703125,393.010009765625,749.6699829101562,396.8599853515625,91.05000305175781,12.09000015258789,20.860000610351562,299.1499938964844,54.7599983215332,209.47999572753906,40.75,129.52999877929688,89.5,454.30999755859375
2024-04-17 00:00:00-04:00,168.0,411.8399963378906,155.47000122070312,181.27999877929688,600300.0,155.4499969482422,478.989990234375,144.77000427246094,272.69000244140625,840.3499755859375,118.62999725341797,139.02999877929688,59.650001525878906,494.1700134277344,155.9530029296875,750.77001953125,332.8299865722656,156.39999389648438,58.5099983215332,25.420000076293945,164.25,125.37000274658203,169.47999572753906,547.25,118.66999816894531,714.0439453125,68.52999877929688,,269.95001220703125,47.790000915527344,160.08999633789062,71.13999938964844,112.94000244140625,239.38999938964844,233.97000122070312,93.08000183105469,105.9000015258789,314.5400085449219,39.779998779296875,165.6999969482422,58.40999984741211,57.18000030517578,446.7900085449219,89.25518035888672,35.68000030517578,38.9900016784668,474.45001220703125,179.94000244140625,142.25,71.75,183.10000610351562,39.97999954223633,264.07000732421875,227.77127075195312,58.16999816894531,68.81999969482422,100.75,86.20999908447266,47.84000015258789,155.6699981689453,94.83999633789062,67.94256591796875,46.11000061035156,16.1200008392334,154.02000427246094,613.6900024414062,229.22999572753906,79.08000183105469,39.599998474121094,170.2100067138672,190.36000061035156,164.32000732421875,92.2300033569336,46.689998626708984,396.8800048828125,753.7899780273438,403.9100036621094,90.95999908447266,12.039999961853027,21.25,293.69000244140625,54.25,199.88999938964844,41.099998474121094,128.3300018310547,90.58000183105469,456.04998779296875
2024-04-18 00:00:00-04:00,167.0399932861328,404.2699890136719,156.00999450683594,179.22000122070312,604144.0,149.92999267578125,493.17999267578125,145.74000549316406,271.3699951171875,846.7100219726562,118.5199966430664,132.27000427246094,59.2599983215332,501.79998779296875,157.2899932861328,745.9500122070312,332.8900146484375,157.57000732421875,58.90999984741211,25.389999389648438,164.66000366210938,125.2300033569336,172.27000427246094,541.52001953125,116.0,710.1102294921875,68.36000061035156,,270.9800109863281,48.11000061035156,160.85000610351562,71.02999877929688,112.43000030517578,236.36000061035156,231.83999633789062,92.56999969482422,105.2699966430664,316.0,40.130001068115234,163.6699981689453,57.9900016784668,58.7400016784668,446.42999267578125,89.43353271484375,35.040000915527344,39.619998931884766,473.17999267578125,178.63999938964844,142.74000549316406,70.83000183105469,181.47000122070312,40.38999938964844,262.75,227.70159912109375,58.31999969482422,68.87999725341797,100.70999908447266,87.1500015258789,48.29999923706055,152.94000244140625,95.73999786376953,68.7249984741211,45.38999938964844,16.329999923706055,155.0800018310547,610.5599975585938,229.80999755859375,79.19000244140625,39.27000045776367,170.22999572753906,191.0800018310547,161.44000244140625,92.94999694824219,46.849998474121094,400.6000061035156,747.2999877929688,403.1099853515625,91.4800033569336,12.0600004196167,21.329999923706055,294.1000061035156,53.380001068115234,194.32000732421875,41.29999923706055,127.80999755859375,91.19999694824219,456.0899963378906
2024-04-19 00:00:00-04:00,165.0,399.1199951171875,154.08999633789062,174.6300048828125,611244.0,147.0500030517578,501.1300048828125,147.91000366210938,269.7799987792969,762.0,119.87999725341797,127.69999694824219,59.529998779296875,481.07000732421875,158.13999938964844,726.3099975585938,335.3599853515625,160.0,60.16999816894531,26.0,166.41000366210938,125.77999877929688,174.1300048828125,544.780029296875,114.87999725341797,708.373046875,68.55000305175781,,271.989990234375,48.31999969482422,162.3300018310547,72.06999969482422,112.61000061035156,235.50999450683594,228.72000122070312,94.36000061035156,107.27999877929688,316.8800048828125,40.4900016784668,159.67999267578125,58.119998931884766,60.349998474121094,446.29998779296875,89.82987213134766,34.20000076293945,40.2400016784668,465.0199890136719,175.77000427246094,142.77000427246094,72.05000305175781,181.5800018310547,40.52000045776367,268.92999267578125,229.14471435546875,59.13999938964844,69.06999969482422,101.55999755859375,87.61000061035156,48.93000030517578,148.05999755859375,94.52999877929688,69.75,46.29999923706055,16.510000228881836,146.63999938964844,555.0399780273438,232.0800018310547,79.4800033569336,39.75,169.82000732421875,194.25999450683594,157.6300048828125,92.08000183105469,47.310001373291016,400.32000732421875,749.97998046875,404.0,92.2699966430664,12.140000343322754,21.670000076293945,282.6400146484375,53.529998779296875,189.77000427246094,42.09000015258789,129.3800048828125,93.7699966430664,463.8699951171875
2024-04-22 00:00:00-04:00,165.83999633789062,400.9599914550781,156.27999877929688,177.22999572753906,617284.0,142.0500030517578,491.2300109863281,149.1199951171875,272.3299865722656,795.1799926757812,120.55999755859375,129.75,60.13999938964844,481.7300109863281,160.5399932861328,731.3300170898438,336.1099853515625,161.9199981689453,60.54999923706055,26.260000228881836,167.88999938964844,126.94000244140625,176.4600067138672,548.3800048828125,114.52999877929688,714.3135375976562,70.12999725341797,,275.5799865722656,48.13999938964844,162.36000061035156,72.38999938964844,111.98999786376953,236.0800018310547,230.3000030517578,95.12000274658203,107.06999969482422,317.4200134277344,38.599998474121094,163.42999267578125,58.5099983215332,61.099998474121094,446.9700012207031,91.24677276611328,34.40999984741211,40.56999969482422,466.8900146484375,178.17999267578125,145.36000061035156,72.58999633789062,181.89999389648438,41.619998931884766,271.9100036621094,230.12998962402344,60.95000076293945,70.68000030517578,101.55999755859375,88.18000030517578,49.13999938964844,150.19000244140625,94.19000244140625,69.62999725341797,47.150001525878906,16.309999465942383,148.63999938964844,554.5999755859375,234.47000122070312,80.56999969482422,40.59000015258789,170.47999572753906,195.5800018310547,160.17999267578125,92.93000030517578,48.060001373291016,399.6099853515625,760.1099853515625,417.3500061035156,92.62000274658203,12.880000114440918,22.030000686645508,289.1499938964844,53.619998931884766,189.4600067138672,42.56999969482422,129.3300018310547,94.05999755859375,461.3299865722656
2024-04-23 00:00:00-04:00,166.89999389648438,407.57000732421875,158.25999450683594,179.5399932861328,615175.0,144.67999267578125,486.17999267578125,149.55999755859375,274.1099853515625,824.22998046875,121.02999877929688,133.42999267578125,59.09000015258789,496.1000061035156,161.5,745.6900024414062,339.0,162.85000610351562,60.63999938964844,26.31999969482422,169.5399932861328,126.87999725341797,171.22000122070312,574.5900268554688,115.08999633789062,721.5219116210938,70.8499984741211,,276.8800048828125,48.31999969482422,163.25,72.7699966430664,113.70999908447266,253.11000061035156,230.41000366210938,97.27999877929688,107.58999633789062,316.8299865722656,39.70000076293945,165.47000122070312,58.70000076293945,60.939998626708984,445.05999755859375,92.9014892578125,34.279998779296875,40.36000061035156,472.8999938964844,188.00999450683594,148.8699951171875,72.97000122070312,182.19000244140625,41.88999938964844,273.5400085449219,233.55999755859375,62.66999816894531,72.51000213623047,101.37999725341797,87.87000274658203,48.9900016784668,162.6199951171875,94.0199966430664,68.5,47.689998626708984,16.5,152.27000427246094,577.75,236.2899932861328,81.29000091552734,41.2400016784668,169.17999267578125,196.16000366210938,161.35000610351562,94.05000305175781,47.97999954223633,397.2099914550781,766.6199951171875,424.0,93.0,12.9399995803833,22.670000076293945,299.6499938964844,55.13999938964844,193.24000549316406,42.869998931884766,129.83999633789062,97.66000366210938,460.0799865722656
2024-04-24 00:00:00-04:00,169.02000427246094,409.05999755859375,159.1300048828125,176.58999633789062,613420.0,162.1300048828125,487.29998779296875,148.52999877929688,275.0199890136719,796.77001953125,121.05000305175781,132.97000122070312,59.869998931884766,493.5,162.60000610351562,732.2000122070312,333.010009765625,163.57000732421875,61.54999923706055,26.270000457763672,167.8000030517578,127.0,177.41000366210938,577.3900146484375,115.33999633789062,722.72998046875,71.19999694824219,,276.75,48.349998474121094,164.17999267578125,73.12999725341797,113.91999816894531,250.41000366210938,232.8800048828125,98.3499984741211,106.88999938964844,313.5400085449219,39.4900016784668,174.80999755859375,59.2400016784668,60.599998474121094,444.32000732421875,92.99066162109375,34.5,40.209999084472656,477.1199951171875,188.07000732421875,146.6199951171875,72.73999786376953,184.10000610351562,41.689998626708984,273.010009765625,230.2899932861328,62.470001220703125,74.62999725341797,101.0199966430664,88.75,48.86000061035156,159.19000244140625,94.63999938964844,67.7699966430664,46.61000061035156,16.809999465942383,151.74000549316406,555.1199951171875,231.97999572753906,80.37999725341797,40.86000061035156,164.3300018310547,194.7899932861328,163.6300048828125,93.66000366210938,48.06999969482422,394.6199951171875,762.7999877929688,423.0400085449219,92.0199966430664,12.949999809265137,22.68000030517578,297.6199951171875,54.77000045776367,196.05999755859375,42.91999816894531,129.27999877929688,99.0199966430664,459.1400146484375
2024-04-25 00:00:00-04:00,169.88999938964844,399.0400085449219,156.0,173.6699981689453,611560.0,170.17999267578125,493.8599853515625,146.82000732421875,275.1600036621094,826.3200073242188,121.33000183105469,136.5800018310547,60.209999084472656,441.3800048828125,162.5500030517578,724.8699951171875,331.9800109863281,165.27999877929688,61.7400016784668,25.260000228881836,167.2899932861328,130.72000122070312,176.67999267578125,571.72998046875,114.88999938964844,721.8599853515625,75.02999877929688,,275.6000061035156,48.099998474121094,164.0500030517578,73.2699966430664,112.7699966430664,245.8000030517578,225.36000061035156,99.05999755859375,106.86000061035156,309.0,39.220001220703125,175.25,57.209999084472656,59.93000030517578,443.8299865722656,91.71247100830078,35.11000061035156,37.869998931884766,473.44000244140625,185.08999633789062,147.38999938964844,73.75,168.91000366210938,41.810001373291016,269.3800048828125,229.9600067138672,61.790000915527344,75.11000061035156,101.70999908447266,87.83999633789062,44.70000076293945,161.25999450683594,93.94000244140625,67.33000183105469,49.36000061035156,16.579999923706055,153.75999450683594,564.7999877929688,243.5500030517578,79.25,40.90999984741211,166.80999755859375,193.02000427246094,163.3000030517578,93.16000366210938,50.91999816894531,394.05999755859375,757.6500244140625,420.04998779296875,91.41000366210938,13.039999961853027,22.510000228881836,298.0199890136719,59.810001373291016,197.5,43.540000915527344,130.11000061035156,96.08999633789062,464.7799987792969
2024-04-26 00:00:00-04:00,169.3000030517578,406.32000732421875,171.9499969482422,179.6199951171875,606920.0,168.2899932861328,495.3500061035156,146.13999938964844,274.5199890136719,877.3499755859375,117.95999908447266,138.3000030517578,60.15999984741211,443.2900085449219,161.2899932861328,733.510009765625,335.0899963378906,165.88999938964844,61.7400016784668,25.399999618530273,159.6199951171875,131.1999969482422,175.5800018310547,573.5999755859375,117.20999908447266,729.1799926757812,75.16999816894531,,273.0899963378906,47.86000061035156,163.9600067138672,73.2699966430664,112.7300033569336,246.5800018310547,226.7100067138672,97.44000244140625,107.52999877929688,308.010009765625,39.68000030517578,177.47999572753906,56.43000030517578,59.90999984741211,443.17999267578125,91.9800033569336,31.8799991607666,38.56999969482422,477.55999755859375,186.17999267578125,147.58999633789062,74.55999755859375,167.1300048828125,41.900001525878906,269.9800109863281,229.8699951171875,62.65999984741211,75.55000305175781,101.41000366210938,88.25,44.849998474121094,162.35000610351562,94.12000274658203,67.18000030517578,49.130001068115234,16.75,157.39999389648438,561.22998046875,242.7899932861328,79.73999786376953,41.11000061035156,167.22000122070312,193.4499969482422,165.66000366210938,95.23999786376953,51.2400016784668,393.3299865722656,762.8800048828125,427.57000732421875,91.83000183105469,12.789999961853027,22.760000228881836,304.07000732421875,60.5,203.3800048828125,43.380001068115234,130.24000549316406,95.0199966430664,461.2900085449219
2024-04-29 00:00:00-04:00,173.5,402.25,166.14999389648438,180.9600067138672,605500.0,194.0500030517578,489.0299987792969,146.82000732421875,271.8399963378906,877.5700073242188,119.63999938964844,138.5,60.2400016784668,432.6199951171875,161.66000366210938,737.2000122070312,336.79998779296875,166.3300018310547,62.040000915527344,25.639999389648438,161.52000427246094,130.1199951171875,176.13999938964844,576.8900146484375,116.48999786376953,726.3300170898438,75.4800033569336,,273.54998779296875,47.779998779296875,164.25,73.12000274658203,112.08000183105469,246.82000732421875,227.94000244140625,97.08999633789062,107.2699966430664,303.1600036621094,40.09000015258789,179.2899932861328,56.810001373291016,59.79999923706055,445.07000732421875,92.11000061035156,31.360000610351562,38.849998474121094,473.07000732421875,183.77000427246094,148.5500030517578,74.4800033569336,167.42999267578125,42.18000030517578,276.3800048828125,230.94000244140625,62.2599983215332,76.41000366210938,102.44000244140625,88.33000183105469,44.63999938964844,164.49000549316406,94.05999755859375,67.44999694824219,49.09000015258789,17.020000457763672,160.1999969482422,559.489990234375,240.9499969482422,80.86000061035156,41.61000061035156,173.49000549316406,193.77000427246094,169.1999969482422,95.18000030517578,51.5,400.9599914550781,761.280029296875,430.80999755859375,92.16000366210938,12.75,22.760000228881836,304.0400085449219,62.709999084472656,205.25999450683594,43.81999969482422,130.22000122070312,95.5999984741211,467.54998779296875
